N° de la ligne,N° de station,Nom de station
19A RETOUR,4,BISCUITS SAIDA
19A RETOUR,5,LYCÉE MÉGRINE RIADH
19A RETOUR,6,STOA
19A RETOUR,7,GARE DJEBEL JELLOUD
19A RETOUR,8,DJEBEL JELLOUD GP1
19A RETOUR,9,EL AFRANE
19A RETOUR,10,CENTRE DE COORDINATION OUARDIA
19A RETOUR,11,DUBOSVILLE
19A RETOUR,12,BAB ALIOUA GP1
19A RETOUR,13,AVENUE DE LA GARE
19A RETOUR,14,STATION BARCELONE
19C,1,STATION BARCELONE
19C,2,DUBOSVILLE
19C,3,CENTRE DE COORDINATION OUARDIA
19C,4,EL AFRANE
19C,5,DJEBEL JELLOUD GP1
19C,6,GARE DJEBEL JELLOUD
19C,7,STOA
19C,8,SOFOMECA
19C,9,CNSS
19C,10,CENTRE DE FORMATION SNT
19C,11,SOCIETE NOUR
19C,12,LUSTRERIES
19C,13,GOUVERNORAT DE BEN AROUS
19C,14,CITE SPROLS
19C,15,MOSQUÉE MEDINA JEDIDA
19C,16,MÉDINA JEDIDA
19C,17,AV FAYCEL IBN ABDELAZIZ
19C,18,CARREFOUR MÉDINA JEDIDA
19C,19,COLLÉGE YASMINET
19C,20,MOSQUÉE
19C,21,CIMETIÉRE SIDI MOSBEH
19C,22,LYCÉE IBN MANDHOUR
19C RETOUR,1,LYCÉE IBN MANDHOUR
19C RETOUR,2,CIMETIÉRE SIDI MOSBEH
19C RETOUR,3,MOSQUÉE
19C RETOUR,4,COLLÉGE YASMINET
19C RETOUR,5,CARREFOUR MÉDINA JEDIDA
19C RETOUR,6,AV FAYCEL IBN ABDELAZIZ
19C RETOUR,7,MÉDINA JEDIDA
19C RETOUR,8,MOSQUÉE MEDINA JEDIDA
19C RETOUR,9,LUSTRERIES
19C RETOUR,10,SOCIÉTÉ NOUR
19C RETOUR,11,CENTRE DE FORMATION SNT
19C RETOUR,12,CNSS
19C RETOUR,13,SOFOMECA
19C RETOUR,14,STOA
19C RETOUR,15,GARE DJEBEL JELLOUD
19C RETOUR,16,DJEBEL JELLOUD GP1
19C RETOUR,17,EL AFRANE
19C RETOUR,18,CENTRE DE COORDINATION OUARDIA
19C RETOUR,19,DUBOSVILLE
19C RETOUR,20,BAB ALIOUA GP1
19C RETOUR,21,AVENUE DE LA GARE
19C RETOUR,22,STATION BARCELONE
78,1,GARE ROUTIÉRE SUD
78,2,SIDI BECHIR-ALLER
78,3,BAB JDID-ALLER
78,4,BAB MNARA-ALLER
78,5,KASBAH
78,6,TELECOM
78,7,CHARLE NICOLE-RETOUR
78,8,BAB SAADOUN ALLER
78,9,GARE ROUTIÉRE NORD ALLER
78,10,FOYER BARDO 1 ALLER
78,11,FOYER BARDO 2 ALLER
78,12,CENTER DE FORMATION RAS TABIA ALLER
78,13,RÉSIDENCE YESMINE ALLER
78,14,CITE IBN KHALDOUN ALLER
78,15,MOSQUÉE IBN KHALDOUN ALLER
78,16,CITE IBN KHALDOUN 5 ALLER
78,17,STADE IBN KHALDOUN ALLER
78,18,FOYER OMRANE SUPÉRIEUR ALLER
78,19,CAFÉ KAMEL BOU ALI ALLER
78,20,KERCH EL GHABA ALLER
78,21,OMRANE SUPÉRIEUR ALLER
78,22,TERMINUS OMRANE SUPÉRIEUR L 78 + 38 B
78 RETOUR,1,TERMINUS OMRANE SUPÉRIEUR L 78 + 38 B
78 RETOUR,2,OMRANE SUPÉRIEUR RETOUR
78 RETOUR,3,KERCH EL GHABA RETOUR
78 RETOUR,4,CAFE KAMEL BOU ALI RETOUR
78 RETOUR,5,FOYER OMRANE SUPERIEUR RETOUR
78 RETOUR,6,STADE IBN KHALDOUN RETOUR
78 RETOUR,7,CITÉ IBN KHALDOUN RETOUR
78 RETOUR,8,MOSQUEE IBN KHALDOUN RETOUR
78 RETOUR,9,MAGAZIN IBN KHALDOUNE
78 RETOUR,10,RÉSIDENCE YESMINE RETOUR
78 RETOUR,11,FOYER BARDO 2 RETOUR
78 RETOUR,12,FOYER BARDO 1 RETOUR
78 RETOUR,13,HNAYA BARDO
78 RETOUR,14,GARE ROUTIERE NORD RETOUR
78 RETOUR,15,HOPITAL DES ENFANTS
78 RETOUR,16,CHARLE NICOLE-ALLER
78 RETOUR,17,TRIBUNAL TAAKIB
78 RETOUR,18,BAB MNARA-RETOUR
78 RETOUR,19,BAB JDID-RETOUR
78 RETOUR,20,MOSQUEE SIDI BECHIR
78 RETOUR,21,SIDI BECHIR-RETOUR
78 RETOUR,22,GARE ROUTIÉRE SUD
19D,1,STATION BARCELONE
19D,2,DUBOSVILLE
19D,3,CENTRE DE COORDINATION OUARDIA
19D,4,EL AFRANE
19D,5,DJEBEL JELLOUD GP1
19D,6,GARE DJEBEL JELLOUD
19D,7,STOA
19D,8,SOFOMECA
19D,9,CNSS
19D,10,CENTRE DE FORMATION SNT
19D,11,SOCIÉTÉ NOUR
19D,12,LUSTRERIES
19D,13,CHOUCHET RADES
19D,14,IMPRIMERIE OFFICIELLE
19D,15,STADE MUNICIPALE
19D RETOUR,1,STADE MUNICIPALE
19D RETOUR,2,USINE DE CARTON
19D RETOUR,3,LUSTRERIES
19D RETOUR,4,SOCIÉTÉ NOUR
19D RETOUR,5,CENTRE DE FORMATION SNT
19D RETOUR,6,SIEFCOL
19D RETOUR,7,CNSS
19D RETOUR,8,SOFOMECA
19D RETOUR,9,STOA
19D RETOUR,10,GARE DJEBEL JELLOUD
19D RETOUR,11,DJEBEL JELLOUD GP1
19D RETOUR,12,EL AFRANE
19D RETOUR,13,CENTRE DE COORDINATION OUARDIA
19D RETOUR,14,DUBOSVILLE
19D RETOUR,15,BAB ALIOUA GP1
19D RETOUR,16,AVENUE DE LA GARE
19D RETOUR,17,STATION BARCELONE
19E,1,STATION BARCELONE
19E,2,MONCEF BEY ALLER
19E,3,SOCIÉTÉ STIL
19E,4,PONT AUTOROUTE SUD (SAINT-GOUBAN)
19E,5,SICOAC
19E,6,PROCID
19E,7,"PONTS ET CHAUSSÉES , SAINT GOBIN"
19E,8,SOCIÉTÉ NADHIF
19E,9,LYCÉE TAHA HSSINE MEGRINE
19E,10,CITÉ JAOUHARA
19E,11,CAFÉ AYED
19E,12,TERMINUS CITÉ CHAKER
19E RETOUR,1,TERMINUS CITÉ CHAKER
19E RETOUR,2,CAFÉ AYED
19E RETOUR,3,CITÉ JAOUHARA
19E RETOUR,4,LYCÉE TAHA HSSINE MEGRINE
19E RETOUR,5,SOCIÉTÉ NADHIF
19E RETOUR,6,"PONTS ET CHAUSSÉES , SAINT GOBIN"
19E RETOUR,7,PROCID
19E RETOUR,8,SICOAC
19E RETOUR,9,PONT AUTOROUTE SUD (SAINT-GOUBAN)
19E RETOUR,10,SOCIÉTÉ STIL
19E RETOUR,11,ALI DERGHOUTH
19E RETOUR,12,MONCEF BEY RETOUR
19E RETOUR,13,STATION BARCELONE
4A,1,JARDIN THAMEUR
4A,2,SIDI ALOUI
4A,3,IMMEUBLE CHEFIA
4A,4,BOUCHOUCHA-ALLER
4A,5,20 MARS ALLER
4A,6,CHEBBI ALLER
4A,7,SAINT CLEMENT ALLER
4A,8,BORTAL ALLER
4A,9,CHAMP DE COURSE KSAR SAID ALLER
4A,10,HOPITAL KASSAB ALLER
4A,11,EL FARABI MANNOUBA - ALLER
4A,12,TÉLÉCOM MANOUBA ALLER
4A,13,STEG MANNOUBA ALLER
4A,14,L'ENVIRONNEMENT MANNOUBA
4A,15,LYCEE IBN ABI DHIEF MANNOUBA
4A,16,CNSS MANNOUBA ALLER
4A,17,RUE DE KEBILLI ALLER
4A,18,AVENUE DE L'ENVIRONNEMENT MANNOUBA ALLER
4A,19,MONOPRIX MANNOUBA ALLER
4A,20,TERMINUS L 4A CITÉ EL AMAL MANNOUBA
4A RETOUR,1,TERMINUS L 4A CITÉ EL AMAL MANNOUBA
4A RETOUR,2,MONOPRIX MANNOUBA RETOUR
4A RETOUR,3,AVENUE DE L'ENVIRONNEMENT MANNOUBA RETOUR
4A RETOUR,4,RUE DE KEBILLI RETOUR
4A RETOUR,5,CNSS MANNOUBA RETOUR
4A RETOUR,6,RUE INB RACHIK RETOUR
4A RETOUR,7,STEG MANNOUBA RETOUR
4A RETOUR,8,TÉLÉCOM MANOUBA RETOUR
4A RETOUR,9,EL FARABI MANNOUBA - RETOUR
4A RETOUR,10,HOPITAL KASSAB RETOUR
4A RETOUR,11,CHAMP DE COURSE KSAR SAID RETOUR
4A RETOUR,12,BORTAL RETOUR
4A RETOUR,13,CHEBBI RETOUR
4A RETOUR,14,RELAIS BARDO
4A RETOUR,15,20 MARS RETOUR
4A RETOUR,16,BOUCHOUCHA-RETOUR
4A RETOUR,17,BAB SAADOUN RETOUR
4A RETOUR,18,BAB ABDESLEM-RETOUR
4A RETOUR,19,MOSQUÉE ELBORJ
4A RETOUR,20,AVENUE MADRID
4A RETOUR,21,JARDIN THAMEUR
19G,1,HOPITAL DES ENFANTS
19G,2,CHARLE NICOLE-ALLER
19G,3,TRIBUNAL TAAKIB
19G,4,KASBAH
19G,5,FACULTE 9 AVRIL ALLER
19G,6,MOSQUÉE AL HAWA ALLER
19G,7,GORJANI ALLER
19G,8,ARRET ESSAYDA ALLER
19G,9,SALLE DES FÉTES KERMESS
19G,10,RUE DU SAHEL
19G,11,POSTE POLICE RUE DU SAHEL
19G,12,13 AOUT
19G,13,LYCÉE 2 MARS EL OUARDIA L(G)
19G,14,BELLEVUE
19G,15,SALLE DES FÉTES BELLEVUE
19G,16,CAFÉ EL QUODS
19G,17,HAMMAM BELLEVUE
19G,18,CENTRE DE COORDINATION OUARDIA
19G,19,EL AFRANE
19G,20,DJEBEL JELLOUD GP1
19G,21,GARE DJEBEL JELLOUD
19G,22,STOA
19G,23,SOFOMECA
19G,24,CNSS
19G,25,CENTRE DE FORMATION SNT
19G,26,SOCIÉTÉ NOUR
19G,27,LUSTRERIES
19G,28,GOUVERNORAT DE BEN AROUS
19G,29,CITE SPROLS
19G,30,MOSQUÉE MEDINA JEDIDA
19G,31,MÉDINA JEDIDA
19G,32,AV FAYCEL IBN ABDELAZIZ
19G,33,CARREFOUR MÉDINA JEDIDA
19G,34,COLLÉGE YASMINET
19G,35,MOSQUÉE
19G,36,CIMETIÉRE SIDI MOSBEH
19G,37,LYCÉE IBN MANDHOUR
19G Retour,1,LYCÉE IBN MANDHOUR
19G Retour,2,CIMETIÉRE SIDI MOSBEH
19G Retour,3,MOSQUÉE
19G Retour,4,COLLÉGE YASMINET
19G Retour,5,CARREFOUR MÉDINA JEDIDA
19G Retour,6,AV FAYCEL IBN ABDELAZIZ
19G Retour,7,MÉDINA JEDIDA
19G Retour,8,LUSTRERIES
19G Retour,9,SOCIÉTÉ NOUR
19G Retour,10,CENTRE DE FORMATION SNT
19G Retour,11,SIEFCOL
19G Retour,12,CNSS
19G Retour,13,SOFOMECA
19G Retour,14,STOA
19G Retour,15,GARE DJEBEL JELLOUD
19G Retour,16,DJEBEL JELLOUD GP1
19G Retour,17,EL AFRANE
19G Retour,18,CENTRE DE COORDINATION OUARDIA
19G Retour,19,POSTE POLICE BELLVUE
19G Retour,20,HAMMAM BELLEVUE
19G Retour,21,CAFÉ EL QUODS
19G Retour,22,SALLE DES FÉTES BELLEVUE
19G Retour,23,BELLEVUE
19G Retour,24,LYCÉE 2 MARS EL OUARDIA L(G)
19G Retour,25,13 AOUT
19G Retour,26,POSTE POLICE RUE DU SAHEL
19G Retour,27,RUE DU SAHEL
19G Retour,28,SALLE DES FÉTES KERMESS
19G Retour,29,ARRET ESSAYDA ALLER
19G Retour,30,GORJANI ALLER
19G Retour,31,MOSQUÉE AL HAWA ALLER
19G Retour,32,FACULTE 9 AVRIL ALLER
19G Retour,33,KASBAH
19G Retour,34,TELECOM
19G Retour,35,CHARLE NICOLE-ALLER
19G Retour,36,HOPITAL DES ENFANTS
43,1,HOPITAL DES ENFANTS
43,2,CHARLE NICOLE-ALLER
43,3,ZOUHAIER ESSAFI
43,4,HOPITAL DE NEUROLOGIE RABTA ALLER
43,5,TERMINUS RABTA L ( 43B + 43 )
43,6,INSTITUT DE LA NUTRITION
22,1,STATION BARCELONE
22,2,DUBOSVILLE
22,3,CENTRE DE COORDINATION OUARDIA
22,4,EL AFRANE
22,5,DJEBEL JELLOUD
22,6,PROTECTION CIVILE
22,7,SIDI FATHALLAH1
22,8,SIDI FATHALLAH2
22,9,SONED
22,10,KIOSQUE MOBIL BEN AROUS
22,11,CENTRE BEN AROUS
22,12,MUNICIPALITÉ BEN AROUS
22,13,CENTRE DES HANDICAPÉS
22,14,CELLULOSE (SILOS)
22,15,INSTITUT ENNOUR
22,16,CENTRE DE TRAUMATOLOGIE ET DES GRANDS BRULÉS
22 RETOUR,1,CENTRE DE TRAUMATOLOGIE ET DES GRANDS BRULÉS
22 RETOUR,2,INSTITUT ENNOUR
22 RETOUR,3,CELLULOSE (SILOS)
22 RETOUR,4,CENTRE DES HANDICAPÉS
22 RETOUR,5,ARRÉT JARDIN D'ENFANTS
22 RETOUR,6,CENTRE BEN AROUS
22 RETOUR,7,BNA BEN AROUS
22 RETOUR,8,SONED
22 RETOUR,9,SIDI FATHALLAH1
22 RETOUR,10,PROTECTION CIVILE
22 RETOUR,11,DJEBEL JELLOUD
22 RETOUR,12,EL AFRANE
22 RETOUR,13,CENTRE DE COORDINATION OUARDIA
22 RETOUR,14,DUBOSVILLE
22 RETOUR,15,BAB ALIOUA GP1
22 RETOUR,16,AVENUE DE LA GARE
22 RETOUR,17,STATION BARCELONE
43 B,1,TERMINUS TUNIS MARINE BUS
43 B,2,MINISTÉRE DU TOURISME
43 B,3,PLACE DES DROITS DE L'HOMME
43 B,4,MOHAMED V
43 B,5,KHEIREDDINE BACHA
43 B,6,SCHILING
43 B,7,LE BELVÉDÉRE
43 B,8,TAIEB MHIRI
43 B,9,MECHTEL
43 B,10,BAB ABDESLEM-ALLER
43 B,11,HOPITAL DES ENFANTS
43 B,12,CHARLE NICOLE-ALLER
43 B,13,UNIVERSITÉ IBN CHARAF ALLER
43 B,14,HOPITAL DE NEUROLOGIE RABTA ALLER
43 B,15,TERMINUS RABTA L ( 43B + 43 )
43 B RETOUR,1,TERMINUS RABTA L ( 43B + 43 )
43 B RETOUR,2,HOPITAL DE NEUROLOGIE RABTA RETOUR
43 B RETOUR,3,CHARLE NICOLE-RETOUR
43 B RETOUR,4,BAB ABDESLEM-RETOUR
43 B RETOUR,5,MOSQUÉE ELBORJ
43 B RETOUR,6,AVENUE MADRID
43 B RETOUR,7,JARDIN THAMEUR
43 B RETOUR,8,PLACE DES DROITS DE L'HOMME RETOUR
43 B RETOUR,9,MINISTÉRE DU TOURISME RETOUR
43 B RETOUR,10,TERMINUS TUNIS MARINE BUS
22A,1,STATION BARCELONE
22A,2,DUBOSVILLE
22A,3,CENTRE DE COORDINATION OUARDIA
22A,4,EL AFRANE
22A,5,DJEBEL JELLOUD
22A,6,PROTECTION CIVILE
22A,7,SIDI FATHALLAH1
22A,8,SIDI FATHALLAH2
22A,9,SONED
22A,10,KIOSQUE MOBIL BEN AROUS
22A,11,CENTRE BEN AROUS
22A,12,BATA
22A,13,CROISEMENT YASMINET ROUTE MOURNEG
22A,14,YASMINET CENTRE
22A,15,JARDIN D'ENFANTS AMEN
22A,16,BOUCHERIE NORD
22A,17,CAFÉ FOLLA
22A,18,LYCÉE YASSMINET
22A RETOUR,1,LYCÉE YASSMINET
22A RETOUR,2,CAFÉ FOLLA
22A RETOUR,3,BOUCHERIE NORD
22A RETOUR,4,JARDIN D'ENFANTS AMEN
22A RETOUR,5,YASMINET CENTRE
22A RETOUR,6,USINE LOUKIL
22A RETOUR,7,BATA
22A RETOUR,8,CENTRE BEN AROUS
22A RETOUR,9,BNA BEN AROUS
22A RETOUR,10,KIOSQUE MOBIL BEN AROUS
22A RETOUR,11,SONED
22A RETOUR,12,SIDI FATHALLAH1
22A RETOUR,13,PROTECTION CIVILE
22A RETOUR,14,DJEBEL JELLOUD
22A RETOUR,15,EL AFRANE
22A RETOUR,16,CENTRE DE COORDINATION OUARDIA
22A RETOUR,17,DUBOSVILLE
22A RETOUR,18,BAB ALIOUA GP1
22A RETOUR,19,AVENUE DE LA GARE
22A RETOUR,20,STATION BARCELONE
36 B,1,TERMINUS MINISTÉRE DES AFFAIRES ETRANGERES ( L 36 B )
36 B,2,CLINIQUE TAOUFIK RETOUR
36 B,3,CAMPUS RETOUR
36 B,4,14 JANVIER 2011 RETOUR
36 B,5,FOYER BARDO 2 RETOUR
36 B,6,FOYER BARDO 1 RETOUR
36 B,7,CAFÉ EL HAJ RETOUR
36 B,8,TOUTA BARDO
36 B RETOUR,1,TOUTA BARDO
36 B RETOUR,2,CAFÉ EL HAJ ALLER
36 B RETOUR,3,FOYER BARDO 1 ALLER
36 B RETOUR,4,FOYER BARDO 2 ALLER
36 B RETOUR,5,CENTER DE FORMATION RAS TABIA ALLER
36 B RETOUR,6,14 JANVIER 2011 ALLER
36 B RETOUR,7,CAMPUS ALLER
36 B RETOUR,8,CLINIQUE TAOUFIK ALLER
36 B RETOUR,9,TERMINUS MINISTÉRE DES AFFAIRES ETRANGERES ( L 36 B )
22G,1,HOPITAL DES ENFANTS
22G,2,CHARLE NICOLE-ALLER
22G,3,TELECOM
22G,4,KASBAH
22G,5,FACULTE 9 AVRIL ALLER
22G,6,MOSQUÉE AL HAWA ALLER
22G,7,GORJANI RETOUR
22G,8,ESSAYDA RETOUR
22G,9,SALLE DES FÉTES KERMESS
22G,10,RUE DU SAHEL
22G,11,POSTE POLICE RUE DU SAHEL
22G,12,13 AOUT
22G,13,LYCÉE 2 MARS EL OUARDIA L(G)
22G,14,LA CAGNA (SECTION)
22G,15,HAMMAM LACAGNA
22G,16,CITÉ MED ALI
22G,17,HAMMAM J-JELLOUD
22G,18,DJEBEL JELLOUD 9B
22G,19,MOSQUÉE CITÉ EL FETH
22G,20,GARJOUMA
22G,21,PTT SIDI FATHALLAH
22G,22,SONED
22G,23,KIOSQUE MOBIL BEN AROUS
22G,24,CENTRE BEN AROUS
22G,25,MUNICIPALITÉ BEN AROUS
22G,26,CENTRE DES HANDICAPÉS
22G,27,CITE EL ESKAN 1
22G,28,CITE EL ESKAN 2
22G,29,CAFÉ EL FERDAOUS
22G RETOUR,1,CENTRE DES HANDICAPÉS
22G RETOUR,2,CITE EL ESKAN 1
22G RETOUR,3,CITE EL ESKAN 2
22G RETOUR,4,CAFÉ EL FERDAOUS
22G RETOUR,5,UGTT BEN AROUS
22G RETOUR,6,CENTRE BEN AROUS
22G RETOUR,7,BNA BEN AROUS
22G RETOUR,8,KIOSQUE MOBIL BEN AROUS
22G RETOUR,9,SONED
22G RETOUR,10,PTT SIDI FATHALLAH
22G RETOUR,11,GARJOUMA
22G RETOUR,12,MOSQUÉE CITÉ EL FETH
22G RETOUR,13,DJEBEL JELLOUD 9B
22G RETOUR,14,HAMMAM J-JELLOUD
22G RETOUR,15,HAMMAM LACAGNA
22G RETOUR,16,LA CAGNA (SECTION)
22G RETOUR,17,LYCÉE OUARDIA
22G RETOUR,18,LYCÉE 2 MARS EL OUARDIA L(G)
22G RETOUR,19,13 AOUT
22G RETOUR,20,POSTE POLICE RUE DU SAHEL
22G RETOUR,21,RUE DU SAHEL
22G RETOUR,22,SALLE DES FÉTES KERMESS
22G RETOUR,23,ESSAYDA RETOUR
22G RETOUR,24,GORJANI RETOUR
22G RETOUR,25,MOSQUÉE AL HAWA ALLER
22G RETOUR,26,FACULTE 9 AVRIL ALLER
22G RETOUR,27,TRIBUNAL TAAKIB
22G RETOUR,28,CHARLE NICOLE-ALLER
22G RETOUR,29,HOPITAL DES ENFANTS
11,1,TERMINUS TUNIS MARINE BUS
11,2,RUE DE LA TURQUIE ALLER
11,3,MONCEF BEY ALLER
11,4,SIDI BECHIR-ALLER
11,5,BAB JDID-ALLER
11,6,BAB MNARA-ALLER
11,7,KASBAH
11,8,TELECOM
11,9,CHARLE NICOLE-RETOUR
11,10,MEFTEH SAADALLAH ALLER
11,11,CIMETIERE SIDI YAHIA ALLER
11,12,ECOLE FRANCAISE OMARANE ALLER
11,13,CITE ZAYATINE ALLER
11,14,TERMINUS JBEL LAHMER L 11
11 RETOUR,1,TERMINUS JBEL LAHMER L 11
11 RETOUR,2,ECOLE FRANCAISE OMARANE RETOUR
11 RETOUR,3,RESTAURANT BOU FERES ALLER
11 RETOUR,4,MARCHÉ ZAYATINE ALLER
11 RETOUR,5,CITE ZAYATINE ALLER
11 RETOUR,6,TERMINUS L12 ZAYATINE
11 RETOUR,7,CITE ZAYATINE RETOUR
11 RETOUR,8,MARCHÉ ZAYATINE RETOUR
11 RETOUR,9,CIMETIERE SIDI YAHIA RETOUR
11 RETOUR,10,MEFTEH SAADALLAH RETOUR
11 RETOUR,11,HOPITAL DES ENFANTS
11 RETOUR,12,CHARLE NICOLE-ALLER
11 RETOUR,13,TRIBUNAL TAAKIB
11 RETOUR,14,BAB MNARA-RETOUR
11 RETOUR,15,BAB JDID-RETOUR
11 RETOUR,16,MOSQUÉE SIDI BECHIR
11 RETOUR,17,SIDI BECHIR-RETOUR
11 RETOUR,18,MONCEF BEY RETOUR
11 RETOUR,19,SAAD ZAGHLOUL
11 RETOUR,20,TERMINUS TUNIS MARINE BUS
12,1,JARDIN THAMEUR
12,2,MECHTEL
12,3,ARBI KEBBEDI OMRANE ALLER
12,4,CAFÉ KAWEKEB
12,5,TERMINUS JBEL LAHMER L 11
12,6,ECOLE FRANCAISE OMARANE RETOUR
12,7,RESTAURANT BOU FERES ALLER
12,8,MARCHÉ ZAYATINE ALLER
12,9,CITE ZAYATINE ALLER
12,10,TERMINUS L12 ZAYATINE
12 RETOUR,1,TERMINUS L12 ZAYATINE
12 RETOUR,2,CITE ZAYATINE RETOUR
12 RETOUR,3,MARCHÉ ZAYATINE RETOUR
12 RETOUR,4,MOKHTAR LAHBIB
12 RETOUR,5,CIMETIERE SIDI YAHIA RETOUR
12 RETOUR,6,MEFTEH SAADALLAH RETOUR
12 RETOUR,7,BAB ABDESLEM-RETOUR
12 RETOUR,8,MOSQUÉE ELBORJ
12 RETOUR,9,AVENUE MADRID
12 RETOUR,10,JARDIN THAMEUR
15,1,JARDIN THAMEUR
15,2,SIDI ALOUI
15,3,HOPITAL DES ENFANTS
15,4,CHARLE NICOLE-ALLER
15,5,DARGHOUTH BACHA ALLER
15,6,UNIVERSITÉ IBN CHARAF ALLER
15,7,STADE MELLASSINE-ALLER
15,8,SOUK MELLASSINE-ALLER
15,9,CENTRE DE FORMATION ZOUHOUR-ALLER
15,10,KHAROUBA-ALLER
15,11,OFFICE DE L'HUILE-ALLER
15,12,SOUK EZZOUHOUR 2 ALLER
15,13,SABRA & CHATILA ALLER
15,14,SAIDIA ALLER
15 RETOUR,1,SAIDIA RETOUR
15 RETOUR,2,SABRA & CHATILA RETOUR
15 RETOUR,3,SOUK EZZOUHOUR 2 RETOUR
15 RETOUR,4,OFFICE DE L'HUILE-RETOUR
15 RETOUR,5,KHAROUBA-RETOUR
15 RETOUR,6,CENTRE DE FORMATION ZOUHOUR-RETOUR
15 RETOUR,7,SOUK MELLASSINE-RETOUR
15 RETOUR,8,STADE MELLASSINE-RETOUR
15 RETOUR,9,RABTA
15 RETOUR,10,CHARLE NICOLE-RETOUR
15 RETOUR,11,BAB ABDESLEM-RETOUR
15 RETOUR,12,MOSQUÉE ELBORJ
15 RETOUR,13,AVENUE MADRID
15 RETOUR,14,JARDIN THAMEUR
94,1,RABATTEMENT SLIMEN KAHIA
94,2,OUED GUERIANA L23
94,3,ABDELMOULA-ALLER
94,4,PÉPINIÉRE-ALLER
94,5,GARDE NATIONAL AGBA-ALLER
94,6,AGBA SUPERIEUR-ALLER
94,7,CANAL AGBA-ALLER
94,8,BEN MAHMOUD-ALLER
94,9,CITE ELWAHA-ALLER
94,10,SONEDE AGBA-ALLER
94,11,GHDIR ELGOLLAH-ALLER
94,12,CITE JABRI-ALLER
94,13,CROISEMENT BEN YEDDER-ALLER
94,14,CITE ENNACER-ALLER
94,15,MARCHÉ MORNAGIAA-ALLER
94,16,GUITOUNI-ALLER
94,17,CROISEMENT SIDI ALI HATTAB-ALLER
94,18,AEROPORT BORJ AMRI-ALLER
94,19,BORJ KHALSI-ALLER
94,20,RELAIS BORJ AMRI-ALLER
94,21,CITÉ AOUINE 5
94,22,CITÉ AOUINE 6
94,23,CITÉ AOUINE 7
94,24,RAISIN
94,25,DOKEN BEN TARCHA
94,26,EL KALATOUS
94,27,CITÉ ELMHERINE
94,28,CITÉ ENNOUR
94,29,PONT RACHED
94,30,CITÉ AKACHA
94,31,LYCEE EL BATTAN
94,32,EL BATTAN
94,33,CITE ERRIMEL
94,34,TERMINUS TEBOURBA
94 Retour,1,TERMINUS TEBOURBA
94 Retour,2,CITE ERRIMEL
94 Retour,3,EL BATTAN
94 Retour,4,LYCEE EL BATTAN
94 Retour,5,CITÉ AKACHA
94 Retour,6,PONT RACHED
94 Retour,7,CITÉ ENNOUR
94 Retour,8,CITÉ ELMHERINE
94 Retour,9,EL KALATOUS
94 Retour,10,DOKEN BEN TARCHA
94 Retour,11,RAISIN
94 Retour,12,CITÉ AOUINE 7
94 Retour,13,CITÉ AOUINE 6
94 Retour,14,CITÉ AOUINE 5
94 Retour,15,RELAIS BORJ AMRI-ALLER
94 Retour,16,BORJ KHALSI-ALLER
94 Retour,17,AEROPORT BORJ AMRI-ALLER
94 Retour,18,CROISEMENT SIDI ALI HATTAB-ALLER
94 Retour,19,GUITOUNI-ALLER
94 Retour,20,MARCHÉ MORNAGIAA-ALLER
94 Retour,21,CITE ENNACER-ALLER
94 Retour,22,CROISEMENT BEN YEDDER-ALLER
94 Retour,23,CITE JABRI-ALLER
94 Retour,24,GHDIR ELGOLLAH-ALLER
94 Retour,25,SONEDE AGBA-ALLER
94 Retour,26,CITE ELWAHA-ALLER
94 Retour,27,BEN MAHMOUD-ALLER
94 Retour,28,CANAL AGBA-ALLER
94 Retour,29,AGBA SUPERIEUR-ALLER
94 Retour,30,GARDE NATIONAL AGBA-ALLER
94 Retour,31,PÉPINIÉRE-ALLER
94 Retour,32,ABDELMOULA-ALLER
94 Retour,33,OUED GUERIANA L23
94 Retour,34,RABATTEMENT SLIMEN KAHIA
15 A,1,JARDIN THAMEUR
15 A,2,SIDI ALOUI
15 A,3,HOPITAL DES ENFANTS
15 A,4,CHARLE NICOLE-ALLER
15 A,5,DARGHOUTH BACHA ALLER
15 A,6,UNIVERSITÉ IBN CHARAF ALLER
15 A,7,STADE MELLASSINE-ALLER
15 A,8,SOUK MELLASSINE-ALLER
15 A,9,CENTRE DE FORMATION ZOUHOUR-ALLER
15 A,10,KHAROUBA-ALLER
15 A,11,OFFICE DE L'HUILE-ALLER
15 A,12,MIZANETTA-ALLER
15 A,13,CASERNE EZZOUHOUR ALLER
15 A,14,CAFE RABAA ALLER
15 A,15,TERMINUS L 15 A
15 A RETOUR,1,TERMINUS L 15 A
15 A RETOUR,2,CAFE RABAA RETOUR
15 A RETOUR,3,CASERNE EZZOUHOUR RETOUR
15 A RETOUR,4,MIZANETTA-RETOUR
15 A RETOUR,5,OFFICE DE L'HUILE-RETOUR
15 A RETOUR,6,KHAROUBA-RETOUR
15 A RETOUR,7,CENTRE DE FORMATION ZOUHOUR-RETOUR
15 A RETOUR,8,SOUK MELLASSINE-RETOUR
15 A RETOUR,9,STADE MELLASSINE-RETOUR
15 A RETOUR,10,RABTA
15 A RETOUR,11,CHARLE NICOLE-RETOUR
15 A RETOUR,12,BAB ABDESLEM-RETOUR
15 A RETOUR,13,MOSQUÉE ELBORJ
15 A RETOUR,14,AVENUE MADRID
15 A RETOUR,15,JARDIN THAMEUR
25,1,AVENUE CARTHAGE
